Massif,Region,Departement,station,indice_climatique,indice_socioeconomique,indice_finances_publiques,score_vulnérabilite,latLong,vulnerable
Alpes,PACA,5,Molines Saint-Véran (beauregard),"3,67",5,1,"18,33","44.69883731059124,6.869973109817884",oui
Alpes,ARA,73,La Toussuire St-Pancrace,"3,67","5,67",1,"20,78","44.7208851,6.8476923",oui
Alpes,PACA,5,Abriès-ristolas,5,"4,33",1,"21,67","45.2498205,6.2403708",oui
Alpes,PACA,5,Arvieux,5,"4,33",1,"21,67","44.7923822,6.9266796",oui
Alpes,PACA,5,Ceillac,5,"4,33",1,"21,67","44.7639898,6.7223914",oui
Alpes,PACA,5,Chaillol (Pinateau),5,"4,33",1,"21,67","44.6894,6.1648",oui
Alpes,PACA,5,St Léger les Mélèzes,5,"4,33",1,"21,67","44.6425,6.2001",oui
Alpes,PACA,5,Aiguilles,6,"3,67",1,22,"44.7824,6.8697",oui
Pyrénées,Occitanie,65,Peyragudes,"5,67","4,33",1,"24,56","42.7879,0.4775",oui
Alpes,PACA,6,Roubion les Buisses,"8,33","3,67",1,"30,56","44.0833,7.0423",oui
Alpes,ARA,73,Orelle,1,"3,67",5,"0,73","45.2076,6.5462",non
Alpes,ARA,73,Tignes,1,"8,33",10,"0,83","45.4701,6.9076",non
Alpes,ARA,73,Val thorens,1,9,10,"0,9","45.2957227,6.5524791",non
Alpes,ARA,74,Chamonix,1,10,10,1,"45.9258,6.8713",non
Alpes,ARA,73,Val d'Isère,1,"7,33",7,"1,05","45.445649,6.977695",non
Alpes,PACA,4,Saint paul,"5,67",1,5,"1,13","44.5167954,6.7575956",non
Alpes,ARA,38,Deux Alpes (Les),1,"8,33",7,"1,19","45.0063,6.1231",non
Alpes,ARA,38,Col de porte,"7,33","1,67",10,"1,22","45.2895,5.7672",non
Alpes,ARA,73,Menuires (Les),"1,67",9,10,"1,5","45.3233799,6.5346576",non
Alpes,ARA,73,Valmeinier,"1,67",5,5,"1,67","45.1843,6.4811",non